photo,weed_id,species,species_confidence,stage,bbox_x,bbox_y,bbox_w,bbox_h
DJI_20260609122641_0177_D.JPG,1,Пырей ползучий,0.777,цветение,2266,3021,42,51
DJI_20260609122641_0177_D.JPG,2,Пырей ползучий,0.753,цветение,2085,3012,39,60
DJI_20260609122641_0177_D.JPG,3,Пырей ползучий,0.86,цветение,1595,3007,55,65
DJI_20260609122641_0177_D.JPG,4,Пырей ползучий,0.696,цветение,1871,2930,62,38
DJI_20260609122641_0177_D.JPG,5,Пырей ползучий,0.825,цветение,892,2875,52,97
DJI_20260609122641_0177_D.JPG,6,Пырей ползучий,0.731,цветение,2565,2873,50,150
DJI_20260609122641_0177_D.JPG,7,Пырей ползучий,0.9,цветение,517,2853,175,219
DJI_20260609122641_0177_D.JPG,8,Пырей ползучий,0.733,цветение,2920,2835,39,63
DJI_20260609122641_0177_D.JPG,9,Пырей ползучий,0.918,цветение,889,2821,187,251
DJI_20260609122641_0177_D.JPG,10,Пырей ползучий,0.906,цветение,2037,2819,115,227
DJI_20260609122641_0177_D.JPG,11,Бодяк полевой,0.84,всходы,1885,2813,67,46
DJI_20260609122641_0177_D.JPG,12,Пырей ползучий,0.826,цветение,1772,2808,101,179
DJI_20260609122641_0177_D.JPG,13,Пырей ползучий,0.863,цветение,1415,2803,45,150
DJI_20260609122641_0177_D.JPG,14,Пырей ползучий,0.798,всходы,1064,2801,54,74
DJI_20260609122641_0177_D.JPG,15,Пырей ползучий,0.919,цветение,0,2801,176,271
DJI_20260609122641_0177_D.JPG,16,Пырей ползучий,0.894,цветение,2239,2789,112,163
DJI_20260609122641_0177_D.JPG,17,Пырей ползучий,0.926,цветение,1159,2784,220,288
DJI_20260609122641_0177_D.JPG,18,Бодяк полевой,0.66,цветение,135,2762,63,40
DJI_20260609122641_0177_D.JPG,19,Пырей ползучий,0.866,цветение,2631,2761,76,96
DJI_20260609122641_0177_D.JPG,20,Пырей ползучий,0.782,цветение,1170,2753,35,70
DJI_20260609122641_0177_D.JPG,21,Пырей ползучий,0.778,всходы,2885,2743,38,68
DJI_20260609122641_0177_D.JPG,22,Пырей ползучий,0.933,цветение,167,2738,354,316
DJI_20260609122641_0177_D.JPG,23,Пырей ползучий,0.881,цветение,2147,2716,117,157
DJI_20260609122641_0177_D.JPG,24,Пырей ползучий,0.905,цветение,1849,2695,175,198
DJI_20260609122641_0177_D.JPG,25,Пырей ползучий,0.819,цветение,763,2670,75,46
DJI_20260609122641_0177_D.JPG,26,Пырей ползучий,0.657,цветение,3302,2663,43,46
DJI_20260609122641_0177_D.JPG,27,Пырей ползучий,0.747,цветение,3093,2646,47,56
DJI_20260609122641_0177_D.JPG,28,Пырей ползучий,0.848,цветение,2487,2640,57,70
DJI_20260609122641_0177_D.JPG,29,Пырей ползучий,0.806,цветение,418,2632,37,88
DJI_20260609122641_0177_D.JPG,30,Пырей ползучий,0.922,цветение,810,2560,204,349
DJI_20260609122641_0177_D.JPG,31,Пырей ползучий,0.692,цветение,3340,2555,55,133
DJI_20260609122641_0177_D.JPG,32,Пырей ползучий,0.859,цветение,1470,2549,129,282
DJI_20260609122641_0177_D.JPG,33,Пырей ползучий,0.893,цветение,459,2546,161,299
DJI_20260609122641_0177_D.JPG,34,Пырей ползучий,0.796,цветение,3377,2463,55,82
DJI_20260609122641_0177_D.JPG,35,Пырей ползучий,0.878,цветение,877,2449,85,85
DJI_20260609122641_0177_D.JPG,36,Пырей ползучий,0.839,цветение,1575,2436,110,85
DJI_20260609122641_0177_D.JPG,37,Пырей ползучий,0.931,цветение,0,2418,324,407
DJI_20260609122641_0177_D.JPG,38,Пырей ползучий,0.818,цветение,1692,2395,59,86
DJI_20260609122641_0177_D.JPG,39,Пырей ползучий,0.927,цветение,1212,2329,290,422
DJI_20260609122641_0177_D.JPG,40,Пырей ползучий,0.881,цветение,0,2247,104,141
DJI_20260609122641_0177_D.JPG,41,Пырей ползучий,0.898,цветение,1481,2195,218,191
DJI_20260609122641_0177_D.JPG,42,Пырей ползучий,0.86,цветение,1196,2193,110,207
DJI_20260609122641_0177_D.JPG,43,Пырей ползучий,0.855,цветение,201,2181,103,134
DJI_20260609122641_0177_D.JPG,44,Пырей ползучий,0.743,цветение,1818,2176,45,56
